class_order,true_class,relation_order,nearest_development_relation,n,mean_similarity,median_similarity,mean_total_wrong,median_total_wrong,mean_traditional_wrong,mean_esm2_wrong,mean_true_class_probability,median_true_class_probability,any_model_wrong_count,any_model_wrong_rate,all_8_wrong_count
0,Active,0,same,14,0.8730589160421334,0.9160839160839163,0.35714285714285715,0.0,0.35714285714285715,0.0,0.8523412744111913,0.9064992554746876,3,0.21428571428571427,0
0,Active,1,opposite,6,0.736191344886997,0.8003952569169961,1.6666666666666667,0.5,0.6666666666666666,1.0,0.7336301473921457,0.8460084530283682,3,0.5,1
1,Inactive,0,same,141,0.43021874520699205,0.4,0.3191489361702128,0.0,0.1702127659574468,0.14893617021276595,0.9509970384126086,0.9947902086561752,11,0.07801418439716312,2
1,Inactive,1,opposite,20,0.5018426827879648,0.375,1.8,0.0,1.05,0.75,0.7870670412942675,0.9650302861372393,9,0.45,2
