analysis_group,residue_category,performed_positions,mean_consensus_sensitivity,median_consensus_sensitivity,sd_consensus_sensitivity,minimum_consensus_sensitivity,maximum_consensus_sensitivity
Consensus hard error,Basic,34,0.17539733408950267,0.12646846260759045,0.15084897791494223,0.0154436341921488,0.5487908379236857
Consensus hard error,Hydrophobic,40,0.21099349822313523,0.10440559764547885,0.25678675326438527,0.0153764033317566,0.8319074830785393
Consensus hard error,Acidic,2,0.05841807663440696,0.05841807663440696,0.01864276689245848,0.0452356497446695,0.0716005035241444
Consensus hard error,Polar/other,9,0.03763967394828791,0.0316473889350891,0.02613419451219799,0.0137913290659586,0.0923609602451324
High-confidence consensus correct,Basic,10,0.00017900613044063196,1.0192126410402125e-05,0.0005263283676897256,4.675966920331121e-07,0.0016764964490236
High-confidence consensus correct,Hydrophobic,23,0.00037160919941463293,8.269837962870952e-06,0.0008654462690150196,2.2495842131320387e-06,0.0033591246158297
High-confidence consensus correct,Acidic,13,1.3883273892973262e-05,1.2756670912494885e-05,9.371663311631616e-06,3.106360964011401e-07,3.18105703627225e-05
High-confidence consensus correct,Polar/other,20,9.328465787924099e-05,1.0258910606353311e-05,0.0003706802096010697,1.2805012374883518e-06,0.0016678947810093
