model,representation,classifier,test_n,active_n,inactive_n,classification_threshold,bootstrap_replicates,bootstrap_seed,AUROC,AUROC_CI_low,AUROC_CI_high,AUROC_bootstrap_mean,AUROC_bootstrap_SE,AUPRC,AUPRC_CI_low,AUPRC_CI_high,AUPRC_bootstrap_mean,AUPRC_bootstrap_SE,MCC,MCC_CI_low,MCC_CI_high,MCC_bootstrap_mean,MCC_bootstrap_SE,F1,F1_CI_low,F1_CI_high,F1_bootstrap_mean,F1_bootstrap_SE,Accuracy,Accuracy_CI_low,Accuracy_CI_high,Accuracy_bootstrap_mean,Accuracy_bootstrap_SE,Sensitivity,Sensitivity_CI_low,Sensitivity_CI_high,Sensitivity_bootstrap_mean,Sensitivity_bootstrap_SE,Specificity,Specificity_CI_low,Specificity_CI_high,Specificity_bootstrap_mean,Specificity_bootstrap_SE,Precision,Precision_CI_low,Precision_CI_high,Precision_bootstrap_mean,Precision_bootstrap_SE
Traditional Logistic Regression,Traditional,Logistic Regression,181,20,161,0.5,5000,2026,0.9667701863354037,0.9400621118012422,0.9872670807453416,0.9665851552795032,0.012251947985583203,0.7481014082078992,0.5992885319824954,0.9072271786088546,0.7608697747961359,0.07980896623236093,0.6404496029129428,0.5343127563333548,0.7464074191652338,0.6421362447949798,0.05463110183827225,0.6551724137931034,0.5588235294117647,0.76,0.6568921008662373,0.05114154163675676,0.8895027624309392,0.8453038674033149,0.9337016574585635,0.889142541436464,0.022925176238802667,0.95,0.85,1.0,0.9486100000000001,0.04910244505136179,0.8819875776397516,0.8322981366459627,0.9316770186335404,0.8817552795031055,0.025140842399265347,0.5,0.40476190476190477,0.625,0.5045585371577835,0.05601764099782389
Traditional RBF-SVM,Traditional,RBF-SVM,181,20,161,0.5,5000,2026,0.9683229813664597,0.9416149068322982,0.9885093167701864,0.9681181366459627,0.012082805206298395,0.7676879954840483,0.6197336221827707,0.9228992159763593,0.7787241858062076,0.07874120775791382,0.6776891751317226,0.529568375023553,0.8103145479569674,0.6780284181234618,0.07278561694980572,0.7083333333333334,0.5777777777777777,0.8292682926829268,0.7077058809324909,0.06411915872869108,0.9226519337016574,0.8839779005524862,0.955939226519335,0.9220950276243093,0.0195869819380011,0.85,0.65,1.0,0.84719,0.08151032257657496,0.9316770186335404,0.8881987577639752,0.968944099378882,0.9314,0.01980328777590484,0.6071428571428571,0.48148148148148145,0.7692307692307693,0.6120232329752094,0.07402253996555963
Traditional Random Forest,Traditional,Random Forest,181,20,161,0.5,5000,2026,0.9652173913043479,0.9369565217391305,0.9878881987577639,0.9651191614906833,0.013126111691178357,0.6732291747397245,0.5189596074282522,0.9015889514896867,0.7020210510370882,0.09890166684313348,0.7455702438142119,0.6063010979779416,0.8804290314972045,0.7468746406136636,0.07126325538313481,0.7727272727272727,0.65,0.8888888888888888,0.7724613918683845,0.06314524976294089,0.9447513812154696,0.9116022099447514,0.9723756906077348,0.9444740331491712,0.016578158672100298,0.85,0.7,1.0,0.84845,0.08008982691999784,0.9565217391304348,0.9254658385093167,0.9875776397515528,0.9564024844720498,0.016006247998750587,0.7083333333333334,0.5714285714285714,0.8823529411764706,0.7143613597792204,0.07901199914577223
Traditional XGBoost,Traditional,XGBoost,181,20,161,0.5,5000,2026,0.9779503105590063,0.9565217391304348,0.9940993788819875,0.9777699999999999,0.009733624632241115,0.7668461218219346,0.6136014146589891,0.9583108573197098,0.7957853500656898,0.09441902613894226,0.7600689387825204,0.625048174604586,0.8804290314972045,0.7609642572941345,0.06510525437269493,0.782608695652174,0.6666666666666666,0.8888888888888888,0.7825027392673377,0.058485486544146995,0.9447513812154696,0.9116022099447514,0.9723756906077348,0.9443259668508286,0.016805138150049987,0.9,0.75,1.0,0.8975299999999999,0.0679435233445609,0.9503105590062112,0.9130434782608695,0.9813664596273292,0.9501391304347828,0.017146415141254194,0.6923076923076923,0.5625,0.8571428571428571,0.6979860423665143,0.07540088273065584
ESM-2 Logistic Regression,ESM-2,Logistic Regression,181,20,161,0.5,5000,2026,0.977639751552795,0.9496894409937889,0.9959627329192546,0.9772503726708074,0.012280194669372569,0.8820785695785698,0.7729091370009014,0.9696966371966604,0.8842083183338741,0.050893705396471575,0.7751557946778821,0.6627806392478157,0.8804290314972045,0.7769567493484958,0.05728298212888038,0.7916666666666666,0.6909090909090909,0.8888888888888888,0.792762190828334,0.053419473289140554,0.9447513812154696,0.9116022099447514,0.9723756906077348,0.9444011049723758,0.01684896333131678,0.95,0.85,1.0,0.9486100000000001,0.04910244505136179,0.9440993788819876,0.906832298136646,0.9751552795031055,0.9438782608695652,0.018168571332154927,0.6785714285714286,0.5555555555555556,0.8333333333333334,0.6844792750444952,0.07238655040733843
ESM-2 RBF-SVM,ESM-2,RBF-SVM,181,20,161,0.5,5000,2026,0.9801242236024845,0.9605590062111802,0.9944099378881988,0.9798077639751552,0.008970614553529726,0.8476651056175093,0.7152788890006208,0.9587727272727271,0.8524289929231931,0.06263193240315709,0.7264224849048023,0.5975055894260409,0.8605601571314145,0.7281858678498371,0.06552320475224171,0.75,0.6382978723404256,0.8695652173913043,0.750895216869394,0.05897069534125076,0.9337016574585635,0.8950276243093923,0.9668508287292817,0.9334618784530386,0.018286297498814323,0.9,0.75,1.0,0.89807,0.0675698767029179,0.937888198757764,0.9006211180124224,0.9751552795031055,0.9378583850931677,0.018949534428271443,0.6428571428571429,0.5161290322580645,0.8,0.6491411485474159,0.07312682938997321
ESM-2 Random Forest,ESM-2,Random Forest,181,20,161,0.5,5000,2026,0.9881987577639751,0.9732919254658385,0.9981366459627329,0.9879733540372672,0.006484896084545769,0.9220576056509563,0.8382500301607818,0.9848522727272727,0.9234037827258097,0.03819231137302686,0.7285186322821915,0.6190538521634015,0.8417449860724445,0.7302758813707464,0.057449258232850436,0.7450980392156863,0.6428571428571429,0.851063829787234,0.7464023913941279,0.054022758205677514,0.9281767955801105,0.8895027624309392,0.9613259668508287,0.9277580110497238,0.019102001348344576,0.95,0.85,1.0,0.9486100000000001,0.04910244505136179,0.9254658385093167,0.8819875776397516,0.9627329192546584,0.9251677018633542,0.02077464125257227,0.6129032258064516,0.5,0.76,0.6184035683094203,0.06807318862474084
ESM-2 XGBoost,ESM-2,XGBoost,181,20,161,0.5,5000,2026,0.9878881987577639,0.9726708074534162,0.9975155279503106,0.9877393788819876,0.006468787855958141,0.9165844676778183,0.8253128189320141,0.9833333333333334,0.9185264309342368,0.040618598767737296,0.8179510473202897,0.6933464382031791,0.9437888198757765,0.8199588077537479,0.06254830739118622,0.8372093023255814,0.723404255319149,0.95,0.837757297625137,0.055981064716176546,0.9613259668508287,0.9337016574585635,0.988950276243094,0.9612110497237569,0.014185114641822568,0.9,0.75,1.0,0.89948,0.06715379011124584,0.968944099378882,0.937888198757764,0.9937888198757764,0.9688795031055901,0.013817442198075545,0.782608695652174,0.6428571428571429,0.9473684210526315,0.7887705149806306,0.07648339927229678
