n_estimators,max_depth,min_samples_leaf,mean_cv_AUROC,sd_cv_AUROC,mean_cv_AUPRC,sd_cv_AUPRC,mean_cv_MCC,sd_cv_MCC,mean_cv_F1,sd_cv_F1,selected
300,None,1,0.9848932089793282,0.009747526974411823,0.9025950189895431,0.06503357137749727,0.756231626444541,0.076918689689102,0.7796032571032571,0.06797562437663911,True
300,10,1,0.9846059431524548,0.01019115039227456,0.9010747254402179,0.0672177880515528,0.7514895949964708,0.07610181391038605,0.7751588126588127,0.06702850486816948,False
300,None,3,0.9842616480943154,0.011040465856095898,0.8909095542892318,0.08936929111387036,0.7719558585745951,0.05866240507514388,0.7894141894141894,0.05523729608801201,False
300,10,3,0.9842616480943154,0.011040465856095898,0.8909095542892318,0.08936929111387036,0.7719558585745951,0.05866240507514388,0.7894141894141894,0.05523729608801201,False
600,None,1,0.9841005531330749,0.010559123088299805,0.8972965679764687,0.07164786860101657,0.7556457018280732,0.08580813173975871,0.7801576576576577,0.07423419665113194,False
600,None,3,0.9838539143249354,0.012138815215882642,0.8950185729753724,0.08636819374313964,0.771648961775665,0.07896158015786947,0.7894013028801219,0.07109577805139218,False
600,10,3,0.9838539143249354,0.012138815215882642,0.8950185729753724,0.08636819374313964,0.771648961775665,0.07896158015786947,0.7894013028801219,0.07109577805139218,False
600,10,1,0.9835089127099483,0.010744299325724035,0.8927050783565542,0.07468631182234717,0.7556457018280732,0.08580813173975871,0.7801576576576577,0.07423419665113194,False
300,5,3,0.9829750080749354,0.010345709190647994,0.8856390679771662,0.07161919222571755,0.757916191603084,0.07564399409969055,0.7743193743193744,0.06908545834975936,False
600,5,3,0.9829750080749354,0.01146090719471272,0.8844734195679983,0.08133180330073511,0.757916191603084,0.07564399409969055,0.7743193743193744,0.06908545834975936,False
600,None,5,0.9826763364018088,0.01129217818758886,0.8795647216837569,0.08122679416267073,0.757916191603084,0.07564399409969055,0.7743193743193744,0.06908545834975936,False
600,10,5,0.9826763364018088,0.01129217818758886,0.8795647216837569,0.08122679416267073,0.757916191603084,0.07564399409969055,0.7743193743193744,0.06908545834975936,False
300,5,1,0.9825209443636951,0.01009808354430329,0.8824881616711584,0.07086131630744989,0.7539235029975586,0.0658499884615435,0.7720154509628194,0.060715826082774406,False
600,5,5,0.9824810239018088,0.011178875116292885,0.8787966988032145,0.07896525697165935,0.757916191603084,0.07564399409969055,0.7743193743193744,0.06908545834975936,False
300,None,5,0.9823833676518088,0.010477145802595653,0.8750173878247306,0.07111971038641109,0.7541946256302385,0.08091677119638403,0.7706209390419917,0.07418467991971689,False
300,10,5,0.9823833676518088,0.010477145802595653,0.8750173878247306,0.07111971038641109,0.7541946256302385,0.08091677119638403,0.7706209390419917,0.07418467991971689,False
600,5,1,0.9822051639211885,0.011002093955124661,0.882493449033871,0.07745298047277135,0.7417481790136728,0.08021500247258999,0.7618397700554312,0.07272701561247612,False
300,5,5,0.9818836805555555,0.011011761915757883,0.8709327582367006,0.0764469440174376,0.757916191603084,0.07564399409969055,0.7743193743193744,0.06908545834975936,False
