Classifier,Traditional AUROC,ESM-2 AUROC,AUROC delta,AUROC paired 95% CI,Traditional AUPRC,ESM-2 AUPRC,AUPRC delta,AUPRC paired 95% CI,Traditional MCC,ESM-2 MCC,MCC delta,MCC paired 95% CI,Traditional F1,ESM-2 F1,F1 delta,F1 paired 95% CI,Supported positive ESM-2 differences
Logistic Regression,0.9667701863354036,0.977639751552795,0.0108695652173913,"[-0.010869565217, 0.032919254658]",0.7481014082078992,0.8820785695785698,0.1339771613706706,"[-0.010893433382, 0.276516332048]",0.6404496029129428,0.7751557946778821,0.1347061917649392,"[0.053285651944, 0.220582247986]",0.6551724137931034,0.7916666666666666,0.1364942528735632,"[0.054188948307, 0.222912353347]",MCC; F1
RBF-SVM,0.9683229813664596,0.9801242236024844,0.0118012422360248,"[-0.007142857143, 0.034161490683]",0.7676879954840483,0.8476651056175093,0.0799771101334609,"[-0.078659297930, 0.234994120110]",0.6776891751317226,0.7264224849048023,0.0487333097730797,"[-0.068299198681, 0.178964346825]",0.7083333333333334,0.75,0.0416666666666666,"[-0.058510638298, 0.152013613159]",None supported
Random Forest,0.965217391304348,0.9881987577639753,0.0229813664596272,"[0.004033385093, 0.046739130435]",0.6732291747397245,0.9220576056509564,0.2488284309112317,"[0.047994418619, 0.387998354181]",0.7455702438142119,0.7285186322821915,-0.0170516115320203,"[-0.119996677136, 0.101323165323]",0.7727272727272727,0.7450980392156863,-0.0276292335115864,"[-0.120455842714, 0.077837942788]",AUROC; AUPRC
XGBoost,0.9779503105590064,0.987888198757764,0.0099378881987576,"[-0.004347826087, 0.027647515528]",0.7668461218219346,0.9165844676778184,0.1497383458558837,"[-0.018043641093, 0.283872674945]",0.7600689387825204,0.8179510473202897,0.0578821085377693,"[-0.064102269563, 0.180555801666]",0.782608695652174,0.8372093023255814,0.0546006066734074,"[-0.053369360950, 0.161616161616]",None supported
