fold,train_n,validation_n,traditional_original_dimensions,esm2_original_dimensions,traditional_pc90_count,traditional_pc90_variance,esm2_pc90_count,esm2_pc90_variance,cca_components,mean_abs_validation_CC1_CC3,mean_abs_validation_CC1_CC5,mean_abs_validation_all,test_overlap,train_validation_overlap
1,576,144,32,1280,17,0.9002908671695334,51,0.9018555381062795,10,0.9866051677753994,0.9831480965406227,0.9734665456221723,0,0
2,576,144,32,1280,18,0.9232390418836935,50,0.9019715131109036,10,0.9826627756272251,0.9810033796807405,0.9750684937691052,0,0
3,576,144,32,1280,17,0.9001259257155282,50,0.901529658859237,10,0.985582797168414,0.9824880640899423,0.9789556714969541,0,0
4,576,144,32,1280,18,0.9220282650219204,49,0.9019929542191425,10,0.9853811907377571,0.9824437508800212,0.9763302758189493,0,0
5,576,144,32,1280,17,0.921137367511042,49,0.9003397728638528,10,0.985738014121497,0.9839535915616023,0.9770528645215133,0,0
