model,test_n,test_active,test_inactive,AUROC,AUPRC,prevalence
Random Forest,181,20,161,0.9881987577639751,0.9220576056509563,0.11049723756906077
XGBoost,181,20,161,0.9878881987577639,0.9165844676778183,0.11049723756906077
RBF-SVM,181,20,161,0.9801242236024845,0.8476651056175093,0.11049723756906077
Logistic Regression,181,20,161,0.977639751552795,0.8820785695785698,0.11049723756906077
