principal_component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio,singular_value
1,293.2864762323492,0.22881182312782056,0.22881182312782056,459.2090770129213
2,129.48097200193618,0.10101651342646363,0.3298283365542842,305.1177131360815
3,79.90170434630788,0.06233650755861983,0.392164844112904,239.68588908193024
4,63.79358232258924,0.049769515671504894,0.44193435978440887,214.1671909745787
5,54.125302895875585,0.04222666313171381,0.4841610229161227,197.27162183683325
6,48.87807202558883,0.03813295762838974,0.5222939805445124,187.46555359958364
7,41.749815704056836,0.03257174203602808,0.5548657225805405,173.25737355511558
8,33.89052801329666,0.026440201406844017,0.5813059239873845,156.10025509767848
9,32.497485218543936,0.025353398272730438,0.6066593222601149,152.85840464996713
10,29.07088006304658,0.022680081102294677,0.6293394033624096,144.57511115448085
11,26.775939019585383,0.020889648584331545,0.6502290519467411,138.75121676973464
12,21.93190679236254,0.017110504522050627,0.6673395564687917,125.57484216079536
13,20.67694821826566,0.016131429854245247,0.6834709863230369,121.92918341780613
14,19.5805793440298,0.015276081308491766,0.6987470676315287,118.65258761762183
15,17.55496443546232,0.0136957675956391,0.7124428352271678,112.34776112187286
16,15.936232814046127,0.012432889953925188,0.724875725181093,107.04275497808885
17,15.103558064466093,0.01178326631641055,0.7366589914975036,104.20872443491054
18,14.258271507997485,0.011123803389460608,0.7477827948869642,101.25066525337101
19,13.028192666317683,0.010164139016348717,0.7579469339033129,96.78466059806385
20,12.306176729654691,0.009600847503840243,0.7675477814071532,94.06455798344945
21,11.8809658804631,0.00926911291154974,0.7768168943187029,92.42518308368649
22,11.001829546186755,0.008583241575074212,0.7854001358937771,88.93995414721259
23,10.117055556395533,0.007892971937479938,0.7932931078312571,85.28870350197843
24,9.978606590847322,0.0077849589099984046,0.8010780667412555,84.70311764521554
25,9.042156209151925,0.007054373163744233,0.8081324399049997,80.63070329831083
26,8.576492380153395,0.0066910785753042795,0.814823518480304,78.5270527992124
27,7.497070443003734,0.005848951435532209,0.8206724699158362,73.4193002453693
28,7.23372291144671,0.005643496927073944,0.8263159668429102,72.11828321119538
29,6.524425057142183,0.0050901276163952775,0.8314060944593055,68.49132511555919
30,6.342672919585341,0.004948330972765473,0.836354425432071,67.53059920644759
31,5.915367697350209,0.004614962424076576,0.8409693878561475,65.21617417784334
32,5.553539454445692,0.004332676718367699,0.8453020645745152,63.190148502329485
33,5.193074408483814,0.004051454531105818,0.849353519105621,61.104995701659796
34,5.094897332660885,0.003974860219642899,0.8533283793252638,60.524632854592156
35,4.849111517062226,0.0037831067460816635,0.8571114860713455,59.04668645036519
36,4.481216814547117,0.003496088201336829,0.8606075742726823,56.76261877027325
37,4.362564466894726,0.0034035198008653695,0.8640110940735477,56.006105485895986
38,4.234245205337069,0.0033034096131860616,0.8673145036867338,55.17628387846859
39,3.969940222660907,0.003097208134942691,0.8704117118216765,53.426463668234604
40,3.8628632273692163,0.0030136704184326023,0.8734253822401091,52.70103092424726
41,3.7423407664837214,0.002919643021202004,0.8763450252613111,51.872372329611025
42,3.481257144206682,0.0027159547353681293,0.8790609799966792,50.0302297284812
43,3.3940295541287955,0.0026479028286823412,0.8817088828253615,49.39946608434755
44,3.1963568821805546,0.002493685542457414,0.884202568367819,47.93934290630003
45,3.1617297390309624,0.0024666706597545056,0.8866692390275734,47.67896477864491
46,2.981684017826452,0.0023262053023183505,0.8889954443298917,46.301520588607225
47,2.8785643197487603,0.00224575493031124,0.891241199260203,45.49382096394365
48,2.68443982979508,0.0020943058112428557,0.8933355050714458,43.93304266292812
49,2.6084589991234597,0.0020350282318192256,0.895370533303265,43.30683572335628
50,2.483852963836982,0.0019378149730529363,0.8973083482763179,42.25979508940844
51,2.4504373794670755,0.0019117453060202754,0.8992200935823381,41.97456939429906
52,2.3539772772341365,0.0018364905171375813,0.9010565840994758,41.14012229358761
53,2.337690885850492,0.0018237844457478023,0.9028803685452236,40.99755781661273
54,2.2591657362248534,0.001762521877906137,0.9046428904231297,40.30310365648866
55,2.168616307260173,0.0016918783890185769,0.9063347688121484,39.48715139029485
56,2.0961844362547484,0.0016353695834636268,0.907970138395612,38.82211495613247
57,2.024959529773913,0.0015798024093022192,0.9095499408049142,38.15685917246653
58,1.9813672414004566,0.0015457932347054941,0.9110957340396197,37.743914033482646
59,1.9368131884245525,0.0015110337250952596,0.912606767764715,37.31713657928825
60,1.8595873186534324,0.0014507848098300265,0.9140575525745451,36.565602444261984
61,1.8314728260064121,0.0014288508686489743,0.9154864034431941,36.28813803295245
62,1.758543636925351,0.0013719540729724795,0.9168583575161666,35.55830247564312
63,1.7166893514118602,0.0013393008272549127,0.9181976583434215,35.132600866789346
64,1.668424326976682,0.001301646147856832,0.9194993044912784,34.63520017404598
65,1.6618711234919055,0.0012965335683204628,0.9207958380595989,34.56711352992436
66,1.6246149754677846,0.001267467628214293,0.9220633056878131,34.17745115366763
67,1.5161832110396325,0.0011828729683360233,0.9232461786561491,33.01720352691148
68,1.4952432844432926,0.0011665363719739208,0.924412715028123,32.78841139053137
69,1.4596579786310349,0.0011387739643646004,0.9255514889924876,32.39589613879687
70,1.4194195418590736,0.0011073813471669635,0.9266588703396546,31.946246267702154
71,1.4053257520470777,0.0010963858666283098,0.9277552562062829,31.787249263216356
72,1.3760481214908447,0.0010735444860420216,0.9288288006923249,31.45438919057112
73,1.3534415561410635,0.001055907636573914,0.9298847083288988,31.194943161759802
74,1.28907914377771,0.001005694339653614,0.9308904026685524,30.4441768549615
75,1.2751177044937179,0.0009948021143553435,0.9318852047829077,30.27886440292937
76,1.2141604671305108,0.0009472454155498351,0.9328324501984575,29.546258238004306
77,1.204600488001079,0.0009397870551038654,0.9337722372535614,29.429708644034786
78,1.1896816363414204,0.0009281478902467867,0.9347003851438082,29.246898921586222
79,1.1759389053567955,0.0009174262934935287,0.9356178114373017,29.07748395153088
80,1.1175479432873983,0.0008718717126723468,0.936489683149974,28.34637492208906
81,1.104603394090497,0.0008617728293574397,0.9373514559793314,28.18172883893157
82,1.0885769923782804,0.0008492695927914074,0.9382007255721229,27.97654120008375
83,1.0563937096247351,0.0008241613242627114,0.9390248868963855,27.559881661940867
84,1.0379021900342584,0.0008097348891803491,0.9398346217855659,27.31760741050782
85,1.0190425276800463,0.0007950212420245774,0.9406296430275904,27.068276217778504
86,0.9901376916172272,0.0007724707026280564,0.9414021137302185,26.681622894284118
87,0.9756053130414787,0.0007611330505173386,0.9421632467807359,26.485094299942055
88,0.9621612991837434,0.0007506445023903969,0.9429138912831263,26.301976619887554
89,0.9471120820654976,0.0007389036309744772,0.9436527949141008,26.095470622410563
90,0.9240111672364605,0.0007208811073796116,0.9443736760214804,25.775260022801227
91,0.900760984216701,0.0007027421299772166,0.9450764181514576,25.44891250430572
92,0.8709854246264073,0.0006795122826210475,0.9457559304340787,25.024758146811067
93,0.8588539620450498,0.0006700477409684408,0.9464259781750471,24.849869188999584
94,0.8512994889254286,0.0006641540059777375,0.9470901321810249,24.740338165380503
95,0.8365587557385832,0.0006526538029064891,0.9477427859839314,24.525206326880134
96,0.8278036222835192,0.000645823354829526,0.9483886093387609,24.39653263113122
97,0.7992354725304085,0.000623535486284168,0.949012144825045,23.97186485756508
98,0.7906682563833042,0.0006168516447005688,0.9496289964697456,23.84303832022244
99,0.7871829039793682,0.0006141324949871816,0.9502431289647328,23.790428915031477
100,0.7631524505062888,0.0005953847779413826,0.9508385137426743,23.42448744186352
101,0.7528121264968272,0.0005873176197868998,0.9514258313624612,23.2652513193221
102,0.738301612172256,0.000575997025398166,0.9520018283878593,23.039940519711678
103,0.7252064844063274,0.0005657806659645311,0.9525676090538239,22.83469864675576
104,0.7119879840876434,0.0005554680555919422,0.9531230771094158,22.625635031066324
105,0.7086985429041889,0.0005529017489421202,0.9536759788583579,22.57330840501923
106,0.6963227461527426,0.0005432465863388693,0.9542192254446967,22.375344790278024
107,0.6743402606622315,0.0005260966220903306,0.9547453220667871,22.019324408713008
108,0.6638765043399757,0.0005179331663742073,0.9552632552331612,21.84781926464155
109,0.6567562410243474,0.0005123781866447351,0.955775633419806,21.730341398526296
110,0.6486757465983807,0.0005060740682785173,0.9562817074880845,21.596246474890854
111,0.637709518902981,0.0004975186020188616,0.9567792260901034,21.412920027199544
112,0.6215021923304693,0.00048487421422190616,0.9572641003043253,21.139065170570042
113,0.6206275563052845,0.0004841918538687569,0.957748292158194,21.12418549870029
114,0.6077509900345703,0.00047414600844868316,0.9582224381666427,20.903898244941207
115,0.5914797773578442,0.00046145177895372095,0.9586838899455964,20.622171561702466
116,0.5791624258101168,0.000451842213248724,0.9591357321588451,20.406317261021744
117,0.5703128170499407,0.0004449380588519845,0.959580670217697,20.24981272651447
118,0.5659723775887413,0.00044155180020463323,0.9600222220179017,20.17260864356182
