model_order,model,representation,classifier,subset_order,subset,subset_label,n,active,inactive,active_prevalence,full_test_AUROC,AUROC,delta_AUROC,full_test_AUPRC,AUPRC,delta_AUPRC,full_test_MCC,MCC,delta_MCC,full_test_Accuracy,Accuracy,delta_Accuracy,full_test_Precision,Precision,delta_Precision,full_test_Recall,Recall,delta_Recall,full_test_Specificity,Specificity,delta_Specificity,full_test_F1,F1,delta_F1
0,Traditional Logistic Regression,Traditional,Logistic Regression,0,all_test,All test,181,20,161,0.11049723756906077,0.9667701863354037,0.9667701863354037,0.0,0.7481014082078992,0.7481014082078992,0.0,0.6404496029129428,0.6404496029129428,0.0,0.8895027624309392,0.8895027624309392,0.0,0.5,0.5,0.0,0.95,0.95,0.0,0.8819875776397516,0.8819875776397516,0.0,0.6551724137931034,0.6551724137931034,0.0
0,Traditional Logistic Regression,Traditional,Logistic Regression,1,novel_lt_0_95,Similarity < 0.95,176,17,159,0.09659090909090909,0.9667701863354037,0.9733629300776915,0.006592743742287799,0.7481014082078992,0.8015004219156469,0.05339901370774769,0.6404496029129428,0.6313912146312043,-0.00905838828173855,0.8895027624309392,0.8977272727272727,0.008224510296333531,0.5,0.48484848484848486,-0.015151515151515138,0.95,0.9411764705882353,-0.008823529411764675,0.8819875776397516,0.8930817610062893,0.01109418336653778,0.6551724137931034,0.64,-0.015172413793103412
0,Traditional Logistic Regression,Traditional,Logistic Regression,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.9667701863354037,0.9827688651218063,0.015998678786402598,0.7481014082078992,0.8315157065157066,0.08341429830780744,0.6404496029129428,0.6267455643526095,-0.01370403856033331,0.8895027624309392,0.926829268292683,0.0373265058617438,0.5,0.47619047619047616,-0.023809523809523836,0.95,0.9090909090909091,-0.040909090909090895,0.8819875776397516,0.9281045751633987,0.046116997523647174,0.6551724137931034,0.625,-0.030172413793103425
0,Traditional Logistic Regression,Traditional,Logistic Regression,3,novel_lt_0_80,Similarity < 0.80,154,4,150,0.025974025974025976,0.9667701863354037,0.9866666666666667,0.01989648033126301,0.7481014082078992,0.8333333333333333,0.0852319251254341,0.6404496029129428,0.4302652729749464,-0.21018432993799646,0.8895027624309392,0.9415584415584416,0.05205567912750242,0.5,0.2727272727272727,-0.2272727272727273,0.95,0.75,-0.19999999999999996,0.8819875776397516,0.9466666666666667,0.0646790890269151,0.6551724137931034,0.4,-0.2551724137931034
1,Traditional RBF-SVM,Traditional,RBF-SVM,0,all_test,All test,181,20,161,0.11049723756906077,0.9683229813664597,0.9683229813664597,0.0,0.7676879954840483,0.7676879954840483,0.0,0.6776891751317226,0.6776891751317226,0.0,0.9226519337016574,0.9226519337016574,0.0,0.6071428571428571,0.6071428571428571,0.0,0.85,0.85,0.0,0.9316770186335404,0.9316770186335404,0.0,0.7083333333333334,0.7083333333333334,0.0
1,Traditional RBF-SVM,Traditional,RBF-SVM,1,novel_lt_0_95,Similarity < 0.95,176,17,159,0.09659090909090909,0.9683229813664597,0.9711431742508324,0.002820192884372741,0.7676879954840483,0.7716565191648925,0.003968523680844216,0.6776891751317226,0.6721506854042324,-0.005538489727490159,0.9226519337016574,0.9318181818181818,0.009166248116524334,0.6071428571428571,0.6086956521739131,0.0015527950310559868,0.85,0.8235294117647058,-0.026470588235294135,0.9316770186335404,0.9433962264150944,0.011719207781553997,0.7083333333333334,0.7,-0.008333333333333415
1,Traditional RBF-SVM,Traditional,RBF-SVM,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.9683229813664597,0.9803921568627452,0.0120691754962855,0.7676879954840483,0.7757756132756133,0.008087617791564972,0.6776891751317226,0.6734843872244477,-0.004204787907274854,0.9226519337016574,0.9573170731707317,0.034665139469074235,0.6071428571428571,0.6666666666666666,0.059523809523809534,0.85,0.7272727272727273,-0.12272727272727268,0.9316770186335404,0.9738562091503268,0.042179190516786425,0.7083333333333334,0.6956521739130435,-0.012681159420289911
1,Traditional RBF-SVM,Traditional,RBF-SVM,3,novel_lt_0_80,Similarity < 0.80,154,4,150,0.025974025974025976,0.9683229813664597,0.9783333333333333,0.01001035196687361,0.7676879954840483,0.6770833333333333,-0.09060466215071505,0.6776891751317226,0.5677628664797901,-0.10992630865193243,0.9226519337016574,0.9805194805194806,0.057867546817823134,0.6071428571428571,0.6666666666666666,0.059523809523809534,0.85,0.5,-0.35,0.9316770186335404,0.9933333333333333,0.061656314699792936,0.7083333333333334,0.5714285714285714,-0.13690476190476197
2,Traditional Random Forest,Traditional,Random Forest,0,all_test,All test,181,20,161,0.11049723756906077,0.9652173913043479,0.9652173913043479,0.0,0.6732291747397245,0.6732291747397245,0.0,0.7455702438142119,0.7455702438142119,0.0,0.9447513812154696,0.9447513812154696,0.0,0.7083333333333334,0.7083333333333334,0.0,0.85,0.85,0.0,0.9565217391304348,0.9565217391304348,0.0,0.7727272727272727,0.7727272727272727,0.0
2,Traditional Random Forest,Traditional,Random Forest,1,novel_lt_0_95,Similarity < 0.95,176,17,159,0.09659090909090909,0.9652173913043479,0.9691083980762116,0.0038910067718637142,0.6732291747397245,0.6555254242105453,-0.017703750529179274,0.7455702438142119,0.7539924858003151,0.008422241986103196,0.9447513812154696,0.9545454545454546,0.009794073329984943,0.7083333333333334,0.7368421052631579,0.028508771929824483,0.85,0.8235294117647058,-0.026470588235294135,0.9565217391304348,0.9685534591194969,0.01203171998906205,0.7727272727272727,0.7777777777777778,0.005050505050505083
