model,representation,classifier,threshold,n,active,inactive,prevalence,TN,FP,FN,TP,predicted_positive_count,sensitivity,specificity,precision,net_benefit,standardized_net_benefit,treat_all_net_benefit,treat_none_net_benefit,beats_treat_all,beats_treat_none,beats_both
Traditional Logistic Regression,Traditional,Logistic Regression,0.15,181,20,161,0.11049723756906077,132,29,0,20,49,1.0,0.8198757763975155,0.40816326530612246,0.08222294442638933,0.7441176470588234,-0.04647383815404618,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.16,181,20,161,0.11049723756906077,133,28,0,20,48,1.0,0.8260869565217391,0.4166666666666667,0.08103130755064455,0.7333333333333333,-0.058931860036832456,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.17,181,20,161,0.11049723756906077,133,28,0,20,48,1.0,0.8260869565217391,0.4166666666666667,0.07881248751913732,0.7132530120481928,-0.07169007521799911,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.18,181,20,161,0.11049723756906077,133,28,0,20,48,1.0,0.8260869565217391,0.4166666666666667,0.07653954992588599,0.6926829268292682,-0.08475946637919418,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.19,181,20,161,0.11049723756906077,134,27,0,20,47,1.0,0.8322981366459627,0.425531914893617,0.07550644567219153,0.6833333333333333,-0.09815155855671509,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.2,181,20,161,0.11049723756906077,134,27,0,20,47,1.0,0.8322981366459627,0.425531914893617,0.07320441988950276,0.6625,-0.11187845303867405,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.21,181,20,161,0.11049723756906077,135,26,0,20,46,1.0,0.8385093167701864,0.43478260869565216,0.07231274914329675,0.6544303797468356,-0.12595286383663193,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.22,181,20,161,0.11049723756906077,135,26,0,20,46,1.0,0.8385093167701864,0.43478260869565216,0.06998158379373848,0.6333333333333333,-0.1403881569627426,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.23,181,20,161,0.11049723756906077,135,26,0,20,46,1.0,0.8385093167701864,0.43478260869565216,0.06758986869484107,0.6116883116883117,-0.15519839276745356,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.24,181,20,161,0.11049723756906077,135,26,0,20,46,1.0,0.8385093167701864,0.43478260869565216,0.06513521372492004,0.5894736842105264,-0.17039837161965687,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.25,181,20,161,0.11049723756906077,136,25,0,20,45,1.0,0.84472049689441,0.4444444444444444,0.06445672191528545,0.5833333333333334,-0.18600368324125233,0.0,True,True,True
Traditional Logistic Regression,Traditional,Logistic Regression,0.26,181,20,161,0.11049723756906077,136,25,0,20,45,1.0,0.84472049689441,0.4444444444444444,0.06196804539345975,0.5608108108108107,-0.2020307600418098,0.0,True,True,True
