classifier,transition,descriptor,descriptor_label,n,mean,sd,median,minimum,maximum,mean_test_set_zscore,median_test_set_zscore,mean_absolute_test_set_zscore
Logistic Regression,stable_correct,length,Length,160,16.60625,4.586138364063999,16.0,8.0,30.0,-0.0037518698649575246,-0.12970135211937614,0.7657329660715896
Logistic Regression,stable_correct,molecular_weight,Molecular weight,160,1900.724641875,525.0613970716605,1804.9485000000002,972.2277,3484.9750000000004,0.0044636419871028205,-0.17020458618685794,0.7719839329614406
Logistic Regression,stable_correct,net_charge_pH7_4,Net charge (pH 7.4),160,0.259181703233338,2.5228430269965427,-0.3149368057311164,-6.436075477657191,10.529891348226808,-0.14897911427228533,-0.36123025231007133,0.7157442857247779
Logistic Regression,stable_correct,isoelectric_point,Isoelectric point,160,7.432330756187438,2.4717634930555934,6.816580963134766,4.0500284194946286,11.999967765808105,-0.13857819317159645,-0.3805726388509925,0.8866816030767529
Logistic Regression,stable_correct,mean_eisenberg_hydrophobicity,Mean hydrophobicity,160,0.02082405994584723,0.25764135511106045,0.0478627450980392,-0.7041176470588235,0.700909090909091,-0.05856710394086706,0.04625693812315868,0.7842199732446814
Logistic Regression,stable_correct,hydrophobic_moment,Hydrophobic moment,160,0.35180062573516013,0.15792710155332826,0.342665549274335,0.0341946997768989,0.7909744075127042,-0.10828224086395374,-0.16371568550879095,0.7780227294032012
Logistic Regression,stable_correct,boman_index,Boman index,160,1.3701930531234732,1.4144407622171484,1.3406459330143539,-2.016363636363636,5.2188235294117655,0.11848139359562522,0.0982949329258529,0.7698200698612604
Logistic Regression,rescue,length,Length,11,15.181818181818182,4.261881786680195,13.0,11.0,24.0,-0.29968003482449596,-0.7529565220381487,0.8333024923775855
Logistic Regression,rescue,molecular_weight,Molecular weight,11,1702.307490909091,533.4151762373892,1414.8203,1177.4326,2707.4326,-0.35739236432157334,-0.8816865912109477,0.936750132321053
Logistic Regression,rescue,net_charge_pH7_4,Net charge (pH 7.4),11,3.3740878607644618,1.175214184005088,3.5474304968978063,0.5206452284349337,5.539913718895949,1.0025991165173824,1.0666837457625442,1.0121111647362693
Logistic Regression,rescue,isoelectric_point,Isoelectric point,11,10.632388218966398,0.8246655814464717,10.477740287780762,8.720009803771973,11.999967765808105,1.1190692158648277,1.058291379144496,1.1190692158648277
Logistic Regression,rescue,mean_eisenberg_hydrophobicity,Mean hydrophobicity,11,0.162369622801441,0.25344878396684645,0.16,-0.2384615384615384,0.5558333333333333,0.49017918128846943,0.48099258664394434,0.8965434602785514
Logistic Regression,rescue,hydrophobic_moment,Hydrophobic moment,11,0.5120136921206702,0.1665620271878553,0.4826549600408846,0.2458539503913091,0.7419279732664577,0.863922226711858,0.6857676533411158,1.065426948903397
Logistic Regression,rescue,boman_index,Boman index,11,-0.17063329095147275,1.1282445828344385,-0.4908333333333335,-1.620833333333333,1.9730000000000003,-0.9342042921412426,-1.1529635329109007,1.0536962659259461
Logistic Regression,regression,length,Length,1,24.0,,24.0,24.0,24.0,1.5323124343306838,1.5323124343306838,1.5323124343306838
Logistic Regression,regression,molecular_weight,Molecular weight,1,2821.0864,,2821.0864,2821.0864,2821.0864,1.682939663505853,1.682939663505853,1.682939663505853
Logistic Regression,regression,net_charge_pH7_4,Net charge (pH 7.4),1,-0.372763308554052,,-0.372763308554052,-0.372763308554052,-0.372763308554052,-0.3826086625882065,-0.3826086625882065,0.3826086625882065
Logistic Regression,regression,isoelectric_point,Isoelectric point,1,6.921477317810059,,6.921477317810059,6.921477317810059,6.921477317810059,-0.3393475576737986,-0.3393475576737986,0.3393475576737986
