C,gamma,mean_cv_AUROC,sd_cv_AUROC,mean_cv_AUPRC,mean_cv_MCC,selected
1.0,scale,0.9788328185562015,0.014321100611343134,0.8342285095088551,0.7302413727720236,True
10.0,scale,0.9783787548449613,0.014351460338196313,0.8055213958525054,0.7377634943057433,False
1.0,0.01,0.9775525880167958,0.013965939203968067,0.786968640247501,0.7852290777402959,False
10.0,0.1,0.9771662528262274,0.017781130800157467,0.8123034797654615,0.7567905562437716,False
1.0,0.1,0.9767414102874676,0.015663646906662287,0.8121163005988269,0.6913296866950039,False
100.0,0.01,0.9755670371043281,0.013671835554198514,0.8030658252766706,0.7360283200743059,False
10.0,0.01,0.975558835998062,0.01998237886334568,0.8118489495630851,0.7426143092285762,False
0.1,scale,0.971917040132429,0.01158182813968554,0.7769640522378147,0.647786630868217,False
100.0,0.001,0.9715271216892765,0.021619304109181146,0.7914321611624242,0.7417330450052471,False
0.1,0.01,0.9701941517280362,0.012155076445428552,0.7631471190572263,0.6500996937131005,False
10.0,0.001,0.9686836845930232,0.0170777810170624,0.7692035152888776,0.6862934795164044,False
100.0,scale,0.9675966468830749,0.01889827960445512,0.8171852064179367,0.6913884616950181,False
0.1,0.1,0.9659860253149224,0.013008812866353043,0.7454014497328199,0.5787113952394947,False
1.0,0.001,0.9656912649386304,0.014306509880425847,0.729115319325733,0.6102258555008044,False
0.1,0.001,0.9541742369186046,0.006824882532301003,0.655092978198896,0.4664853069201613,False
100.0,0.1,0.9144758862241602,0.0742246869512332,0.7862051681368659,0.7191580881976058,False
