fold,training_rows,validation_rows,scaler_samples_seen,max_abs_training_scaled_mean,max_abs_training_scaled_std_error,max_abs_validation_scaled_mean,constant_training_features,test_overlap
1,576,144,576,3.915849126438313e-15,1.4432899320127035e-14,0.209208238383625,,0
2,576,144,576,6.1517149399195305e-15,1.4654943925052066e-14,0.19693421295996794,,0
3,576,144,576,7.337024988334711e-15,1.4432899320127035e-14,0.30942901956035757,,0
4,576,144,576,7.780813030914638e-15,1.4432899320127035e-14,0.2329713095786387,,0
5,576,144,576,6.887237693733697e-15,1.0,0.24374656927448257,AAC_C,0
