fold,feature,training_n,validation_n,training_active,validation_active,scale_pos_weight,baseline_validation_AUROC,mean_permuted_AUROC,mean_AUROC_drop,sd_AUROC_drop_across_repeats,min_AUROC_drop,max_AUROC_drop,n_repeats
1,hydrophobic_moment,576,144,63,16,8.142857142857142,0.97607421875,0.961181640625,0.014892578125,0.004518592019029709,0.001953125,0.0224609375,30
1,net_charge_pH7_4,576,144,63,16,8.142857142857142,0.97607421875,0.963427734375,0.012646484375,0.003793821685378994,0.00244140625,0.01953125,30
1,boman_index,576,144,63,16,8.142857142857142,0.97607421875,0.9702473958333333,0.005826822916666667,0.00402224836133669,-0.0009765625,0.01220703125,30
1,aliphatic_index,576,144,63,16,8.142857142857142,0.97607421875,0.9708821614583333,0.0051920572916666664,0.0025564982994644363,-0.00048828125,0.0087890625,30
1,AAC_K,576,144,63,16,8.142857142857142,0.97607421875,0.9722330729166667,0.003841145833333333,0.005128730085977387,-0.0068359375,0.01171875,30
1,AAC_F,576,144,63,16,8.142857142857142,0.97607421875,0.973681640625,0.002392578125,0.0025237005753728507,-0.001953125,0.0087890625,30
1,instability_index,576,144,63,16,8.142857142857142,0.97607421875,0.9739908854166667,0.0020833333333333333,0.00146165991401045,-0.00048828125,0.00537109375,30
1,aromaticity,576,144,63,16,8.142857142857142,0.97607421875,0.97470703125,0.0013671875,0.0014698862563065848,-0.00244140625,0.00390625,30
1,hydrophobic_ratio,576,144,63,16,8.142857142857142,0.97607421875,0.9755696614583333,0.0005045572916666667,0.0007308299570052249,-0.0009765625,0.00244140625,30
1,mean_eisenberg_hydrophobicity,576,144,63,16,8.142857142857142,0.97607421875,0.9756510416666667,0.00042317708333333335,0.002544410261300387,-0.00390625,0.0068359375,30
1,AAC_N,576,144,63,16,8.142857142857142,0.97607421875,0.975732421875,0.000341796875,0.000781565635323631,-0.00146484375,0.00146484375,30
1,AAC_V,576,144,63,16,8.142857142857142,0.97607421875,0.9759440104166667,0.00013020833333333333,0.001651782518015619,-0.00439453125,0.00439453125,30
1,AAC_G,576,144,63,16,8.142857142857142,0.97607421875,0.9759602864583333,0.00011393229166666667,0.002050393688577282,-0.00390625,0.00341796875,30
1,AAC_L,576,144,63,16,8.142857142857142,0.97607421875,0.9759602864583333,0.00011393229166666667,0.001070410856356789,-0.0029296875,0.00146484375,30
1,AAC_T,576,144,63,16,8.142857142857142,0.97607421875,0.9760091145833333,6.510416666666667e-05,0.0005245383886524217,-0.0009765625,0.0009765625,30
1,isoelectric_point,576,144,63,16,8.142857142857142,0.97607421875,0.976025390625,4.8828125e-05,0.0011494206285930359,-0.00244140625,0.00244140625,30
1,AAC_C,576,144,63,16,8.142857142857142,0.97607421875,0.97607421875,0.0,0.0,0.0,0.0,30
1,AAC_D,576,144,63,16,8.142857142857142,0.97607421875,0.97607421875,0.0,0.0,0.0,0.0,30
1,AAC_H,576,144,63,16,8.142857142857142,0.97607421875,0.97607421875,0.0,0.0,0.0,0.0,30
1,AAC_M,576,144,63,16,8.142857142857142,0.97607421875,0.97607421875,0.0,0.0,0.0,0.0,30
1,AAC_Y,576,144,63,16,8.142857142857142,0.97607421875,0.97607421875,0.0,0.0,0.0,0.0,30
1,AAC_E,576,144,63,16,8.142857142857142,0.97607421875,0.976513671875,-0.000439453125,0.001359166259705345,-0.0048828125,0.0029296875,30
1,AAC_Q,576,144,63,16,8.142857142857142,0.97607421875,0.9765462239583333,-0.00047200520833333334,0.0008742480625337263,-0.00146484375,0.001953125,30
1,AAC_I,576,144,63,16,8.142857142857142,0.97607421875,0.9765950520833333,-0.0005208333333333333,0.0008969917465516751,-0.00244140625,0.00146484375,30
1,AAC_W,576,144,63,16,8.142857142857142,0.97607421875,0.9766438802083334,-0.0005696614583333334,0.0005452871839842432,-0.001953125,0.0009765625,30
1,AAC_S,576,144,63,16,8.142857142857142,0.97607421875,0.9766927083333333,-0.0006184895833333333,0.0003832594007641119,-0.00146484375,0.0,30
