model,AUROC,AUPRC
XGBoost,0.9779503105590063,0.7668461218219346
RBF-SVM,0.9683229813664597,0.7676879954840483
Logistic Regression,0.9667701863354037,0.7481014082078992
Random Forest,0.9652173913043479,0.6732291747397245
