metric,hard_n,hard_mean,hard_sd,hard_median,hard_min,hard_max,reference_n,reference_mean,reference_sd,reference_median,reference_min,reference_max,hard_minus_reference_mean,hard_to_reference_mean_ratio
sequence_length,15,16.733333333333334,7.025124977705448,13.0,12.0,38.0,166,16.6144578313253,4.59203876369766,16.0,8.0,30.0,0.11887550200803432,1.0071549431955524
fraction_A,15,0.2123488622697803,0.0631412095288497,0.23076923076923078,0.11764705882352941,0.3333333333333333,166,0.11111753770275841,0.09261374591672941,0.09090909090909091,0.0,0.38461538461538464,0.1012313245670219,1.9110292277877654
fraction_C,15,0.0,0.0,0.0,0.0,0.0,166,0.000502008032128514,0.006467921047552774,0.0,0.0,0.08333333333333333,-0.000502008032128514,0.0
fraction_D,15,0.0,0.0,0.0,0.0,0.0,166,0.03625237886100727,0.04827438140957623,0.0,0.0,0.21428571428571427,-0.03625237886100727,0.0
fraction_E,15,0.003508771929824561,0.013589415249850587,0.0,0.0,0.05263157894736842,166,0.07278754178475466,0.07113764485534338,0.07019704433497537,0.0,0.3333333333333333,-0.0692787698549301,0.048205666021811894
fraction_F,15,0.07618236042485606,0.06082605239945029,0.0625,0.0,0.23076923076923078,166,0.04487694471338135,0.051780162813564685,0.04,0.0,0.2,0.03130541571147471,1.6975834899504667
fraction_G,15,0.025901559454191033,0.0466338558154197,0.0,0.0,0.13157894736842105,166,0.04691433882919765,0.05338780325392889,0.044466403162055336,0.0,0.2,-0.021012779375006615,0.552103260977237
fraction_H,15,0.0,0.0,0.0,0.0,0.0,166,0.021994669009380158,0.0380206263707668,0.0,0.0,0.1875,-0.021994669009380158,0.0
fraction_I,15,0.040786607040477006,0.06659158606361465,0.0,0.0,0.20833333333333334,166,0.05853992235251342,0.05732461709544988,0.058823529411764705,0.0,0.3157894736842105,-0.017753315312036416,0.6967314851370968
fraction_K,15,0.275028818466697,0.10021817869168549,0.3076923076923077,0.1111111111111111,0.46153846153846156,166,0.10604783307622469,0.10351723882478749,0.07692307692307693,0.0,0.5,0.16898098539047235,2.593441190533453
