supplementary_figure,format,path,bytes,format_valid
S1,PNG,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.png,2357398,True
S1,PDF,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.pdf,1513656,True
S1,TIFF,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S1_Additional_Descriptor_and_Model_Diagnostics.tiff,5017960,True
S2,PNG,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.png,1632707,True
S2,PDF,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.pdf,1012421,True
S2,TIFF,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S2_Probability_Shifts_and_Hard_Case_Proximity.tiff,4633418,True
S3,PNG,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.png,2939405,True
S3,PDF,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.pdf,1514053,True
S3,TIFF,E:\postdoc-work\ist-project\manuscript\supplementary_figures_high_impact\Supplementary_Figure_S3_Sequence_Families_and_Development_Neighborhoods.tiff,5020800,True
