classifier,test_n,test_active,test_inactive,traditional_AUROC,esm2_AUROC,delta_AUROC,traditional_AUPRC,esm2_AUPRC,delta_AUPRC,traditional_MCC,esm2_MCC,delta_MCC,traditional_Accuracy,esm2_Accuracy,delta_Accuracy,traditional_Precision,esm2_Precision,delta_Precision,traditional_Recall,esm2_Recall,delta_Recall,traditional_Specificity,esm2_Specificity,delta_Specificity,traditional_F1,esm2_F1,delta_F1,traditional_TN,traditional_FP,traditional_FN,traditional_TP,esm2_TN,esm2_FP,esm2_FN,esm2_TP
Logistic Regression,181,20,161,0.9667701863354037,0.977639751552795,0.010869565217391353,0.7481014082078992,0.8820785695785698,0.13397716137067062,0.6404496029129428,0.7751557946778821,0.13470619176493925,0.8895027624309392,0.9447513812154696,0.05524861878453047,0.5,0.6785714285714286,0.1785714285714286,0.95,0.95,0.0,0.8819875776397516,0.9440993788819876,0.06211180124223603,0.6551724137931034,0.7916666666666666,0.1364942528735632,142,19,1,19,152,9,1,19
RBF-SVM,181,20,161,0.9683229813664597,0.9801242236024845,0.011801242236024856,0.7676879954840483,0.8476651056175093,0.07997711013346098,0.6776891751317226,0.7264224849048023,0.04873330977307977,0.9226519337016574,0.9337016574585635,0.011049723756906049,0.6071428571428571,0.6428571428571429,0.03571428571428581,0.85,0.9,0.050000000000000044,0.9316770186335404,0.937888198757764,0.006211180124223614,0.7083333333333334,0.75,0.04166666666666663,150,11,3,17,151,10,2,18
Random Forest,181,20,161,0.9652173913043479,0.9881987577639751,0.022981366459627228,0.6732291747397245,0.9220576056509563,0.24882843091123175,0.7455702438142119,0.7285186322821915,-0.017051611532020394,0.9447513812154696,0.9281767955801105,-0.016574585635359185,0.7083333333333334,0.6129032258064516,-0.09543010752688175,0.85,0.95,0.09999999999999998,0.9565217391304348,0.9254658385093167,-0.03105590062111807,0.7727272727272727,0.7450980392156863,-0.027629233511586415,154,7,3,17,149,12,1,19
XGBoost,181,20,161,0.9779503105590063,0.9878881987577639,0.009937888198757627,0.7668461218219346,0.9165844676778183,0.14973834585588375,0.7600689387825204,0.8179510473202897,0.05788210853776932,0.9447513812154696,0.9613259668508287,0.016574585635359074,0.6923076923076923,0.782608695652174,0.09030100334448166,0.9,0.9,0.0,0.9503105590062112,0.968944099378882,0.018633540372670843,0.782608695652174,0.8372093023255814,0.05460060667340749,153,8,2,18,156,5,2,18
