class_order,true_class,stratum_order,similarity_stratum,n,same_class_neighbor_count,opposite_class_neighbor_count,mean_similarity,median_similarity,minimum_similarity,maximum_similarity,mean_total_wrong,median_total_wrong,minimum_total_wrong,maximum_total_wrong,mean_traditional_wrong,mean_esm2_wrong,mean_true_class_probability,median_true_class_probability,any_model_wrong_count,any_model_wrong_rate,all_8_wrong_count
0,Active,0,<0.80,4,1,3,0.5765810276679841,0.5227272727272727,0.4782608695652174,0.782608695652174,2.25,0.5,0,8,1.25,1.0,0.6905882457919252,0.8286874513620774,2,0.5,1
0,Active,1,0.80-<0.90,7,5,2,0.8438246283935474,0.8421052631578947,0.8125,0.8947368421052632,0.5714285714285714,0.0,0,3,0.42857142857142855,0.14285714285714285,0.8399589057129233,0.8892436564303857,2,0.2857142857142857,0
0,Active,2,0.90-<0.95,6,5,1,0.926469363969364,0.9258241758241759,0.9090909090909092,0.9375,0.3333333333333333,0.0,0,1,0.16666666666666666,0.16666666666666666,0.8148953053152831,0.7942712635510141,2,0.3333333333333333,0
0,Active,3,>=0.95,3,3,0,0.9560200668896321,0.9565217391304348,0.95,0.9615384615384616,0.0,0.0,0,0,0.0,0.0,0.9343738570198971,0.9307967200792768,0,0.0,0
1,Inactive,0,<0.80,150,135,15,0.40453662962194725,0.3900966183574879,0.3,0.7692307692307692,0.15333333333333332,0.0,0,6,0.09333333333333334,0.06,0.9689754193580685,0.9950870418216962,9,0.06,0
1,Inactive,1,0.80-<0.90,3,2,1,0.8498168498168498,0.8461538461538461,0.8461538461538461,0.8571428571428572,5.0,5.0,2,8,2.6666666666666665,2.3333333333333335,0.4061484289740447,0.4788242327300986,3,1.0,1
1,Inactive,2,0.90-<0.95,6,3,3,0.9229242979242981,0.9230769230769232,0.9166666666666666,0.9285714285714286,4.5,4.5,1,8,2.5,2.0,0.49317616502383443,0.4891487230042557,6,1.0,1
1,Inactive,3,>=0.95,2,1,1,0.9651029748283753,0.9651029748283753,0.9565217391304348,0.9736842105263158,8.0,8.0,8,8,4.0,4.0,0.15405403064388615,0.15405403064388615,2,1.0,2
