model,representation,classifier,bin,lower_bound,upper_bound,interval,n,mean_predicted_probability,observed_active_fraction,absolute_calibration_gap
ESM-2 Logistic Regression,ESM-2,Logistic Regression,2,0.1,0.2,"[0.1,0.2)",2,0.15672542,0.0,0.15672542
ESM-2 Logistic Regression,ESM-2,Logistic Regression,4,0.30000000000000004,0.4,"[0.3,0.4)",2,0.33624619,0.0,0.33624619
ESM-2 Logistic Regression,ESM-2,Logistic Regression,5,0.4,0.5,"[0.4,0.5)",2,0.43766887,0.0,0.43766887
ESM-2 Logistic Regression,ESM-2,Logistic Regression,6,0.5,0.6000000000000001,"[0.5,0.6)",2,0.522029765,0.5,0.02202976499999998
ESM-2 Logistic Regression,ESM-2,Logistic Regression,7,0.6000000000000001,0.7000000000000001,"[0.6,0.7)",2,0.66611688,0.0,0.66611688
ESM-2 Logistic Regression,ESM-2,Logistic Regression,8,0.7000000000000001,0.8,"[0.7,0.8)",1,0.7093795,1.0,0.29062049999999995
ESM-2 Logistic Regression,ESM-2,Logistic Regression,9,0.8,0.9,"[0.8,0.9)",7,0.8611572214285715,0.5714285714285714,0.28972865000000014
ESM-2 Logistic Regression,ESM-2,Logistic Regression,10,0.9,1.0,"[0.9,1.0]",16,0.97565482125,0.8125,0.16315482125000003
ESM-2 RBF-SVM,ESM-2,RBF-SVM,1,0.0,0.1,"[0.0,0.1)",145,0.007120701195466901,0.0,0.007120701195466901
ESM-2 RBF-SVM,ESM-2,RBF-SVM,2,0.1,0.2,"[0.1,0.2)",2,0.12710670360300336,0.5,0.37289329639699664
ESM-2 RBF-SVM,ESM-2,RBF-SVM,3,0.2,0.30000000000000004,"[0.2,0.3)",2,0.23511184946578328,0.0,0.23511184946578328
ESM-2 RBF-SVM,ESM-2,RBF-SVM,4,0.30000000000000004,0.4,"[0.3,0.4)",2,0.3260356178333623,0.0,0.3260356178333623
ESM-2 RBF-SVM,ESM-2,RBF-SVM,5,0.4,0.5,"[0.4,0.5)",2,0.46043088729721127,0.5,0.039569112702788733
ESM-2 RBF-SVM,ESM-2,RBF-SVM,6,0.5,0.6000000000000001,"[0.5,0.6)",4,0.542676571884125,0.0,0.542676571884125
ESM-2 RBF-SVM,ESM-2,RBF-SVM,7,0.6000000000000001,0.7000000000000001,"[0.6,0.7)",1,0.6526136074111555,0.0,0.6526136074111555
ESM-2 RBF-SVM,ESM-2,RBF-SVM,8,0.7000000000000001,0.8,"[0.7,0.8)",4,0.7508302500845783,0.75,0.0008302500845782657
ESM-2 RBF-SVM,ESM-2,RBF-SVM,9,0.8,0.9,"[0.8,0.9)",16,0.8455762537888812,0.75,0.09557625378888124
ESM-2 RBF-SVM,ESM-2,RBF-SVM,10,0.9,1.0,"[0.9,1.0]",3,0.9257572748062607,1.0,0.07424272519373931
ESM-2 Random Forest,ESM-2,Random Forest,1,0.0,0.1,"[0.0,0.1)",137,0.010973236009732339,0.0,0.010973236009732339
ESM-2 Random Forest,ESM-2,Random Forest,2,0.1,0.2,"[0.1,0.2)",6,0.1255555555555555,0.0,0.1255555555555555
ESM-2 Random Forest,ESM-2,Random Forest,3,0.2,0.30000000000000004,"[0.2,0.3)",3,0.22444444444444442,0.0,0.22444444444444442
ESM-2 Random Forest,ESM-2,Random Forest,4,0.30000000000000004,0.4,"[0.3,0.4)",1,0.36,1.0,0.64
ESM-2 Random Forest,ESM-2,Random Forest,5,0.4,0.5,"[0.4,0.5)",3,0.4255555555555555,0.0,0.4255555555555555
ESM-2 Random Forest,ESM-2,Random Forest,6,0.5,0.6000000000000001,"[0.5,0.6)",4,0.5508333333333333,0.0,0.5508333333333333
ESM-2 Random Forest,ESM-2,Random Forest,7,0.6000000000000001,0.7000000000000001,"[0.6,0.7)",6,0.6427777777777778,0.3333333333333333,0.30944444444444447
ESM-2 Random Forest,ESM-2,Random Forest,8,0.7000000000000001,0.8,"[0.7,0.8)",5,0.7526666666666667,0.6,0.15266666666666673
ESM-2 Random Forest,ESM-2,Random Forest,9,0.8,0.9,"[0.8,0.9)",3,0.8233333333333334,0.6666666666666666,0.15666666666666673
ESM-2 Random Forest,ESM-2,Random Forest,10,0.9,1.0,"[0.9,1.0]",13,0.9330769230769231,0.9230769230769231,0.010000000000000009
ESM-2 XGBoost,ESM-2,XGBoost,1,0.0,0.1,"[0.0,0.1)",150,0.0018845051064666667,0.006666666666666667,0.0047821615602
ESM-2 XGBoost,ESM-2,XGBoost,2,0.1,0.2,"[0.1,0.2)",4,0.12133142999999999,0.25,0.12866857
ESM-2 XGBoost,ESM-2,XGBoost,3,0.2,0.30000000000000004,"[0.2,0.3)",3,0.25820718666666664,0.0,0.25820718666666664
ESM-2 XGBoost,ESM-2,XGBoost,4,0.30000000000000004,0.4,"[0.3,0.4)",1,0.3819805,0.0,0.3819805
ESM-2 XGBoost,ESM-2,XGBoost,8,0.7000000000000001,0.8,"[0.7,0.8)",1,0.79899967,1.0,0.20100032999999995
ESM-2 XGBoost,ESM-2,XGBoost,9,0.8,0.9,"[0.8,0.9)",3,0.8721896633333334,0.3333333333333333,0.53885633
ESM-2 XGBoost,ESM-2,XGBoost,10,0.9,1.0,"[0.9,1.0]",19,0.9820256473684209,0.8421052631578947,0.13992038421052622
