classifier,traditional_AUROC,esm2_AUROC,delta_AUROC,traditional_AUPRC,esm2_AUPRC,delta_AUPRC,traditional_MCC,esm2_MCC,delta_MCC,traditional_F1,esm2_F1,delta_F1
Logistic Regression,0.9667701863354037,0.977639751552795,0.010869565217391353,0.7481014082078992,0.8820785695785698,0.13397716137067062,0.6404496029129428,0.7751557946778821,0.13470619176493925,0.6551724137931034,0.7916666666666666,0.1364942528735632
RBF-SVM,0.9683229813664597,0.9801242236024845,0.011801242236024856,0.7676879954840483,0.8476651056175093,0.07997711013346098,0.6776891751317226,0.7264224849048023,0.04873330977307977,0.7083333333333334,0.75,0.04166666666666663
Random Forest,0.9652173913043479,0.9881987577639751,0.022981366459627228,0.6732291747397245,0.9220576056509563,0.24882843091123175,0.7455702438142119,0.7285186322821915,-0.017051611532020394,0.7727272727272727,0.7450980392156863,-0.027629233511586415
XGBoost,0.9779503105590063,0.9878881987577639,0.009937888198757627,0.7668461218219346,0.9165844676778183,0.14973834585588375,0.7600689387825204,0.8179510473202897,0.05788210853776932,0.782608695652174,0.8372093023255814,0.05460060667340749
