n_estimators,max_depth,learning_rate,subsample,colsample_bytree,fold,train_n,validation_n,train_active,train_inactive,scale_pos_weight,input_dimensions,scaler_used,pca_used,validation_AUROC,validation_AUPRC,validation_MCC,validation_F1,locked_test_rows_used
200,2,0.03,0.8,0.6,1,576,144,63,513,8.142857142857142,1280,False,False,0.9736328125,0.7876918941489042,0.688653724024566,0.7222222222222222,0
200,2,0.03,0.8,0.6,2,576,144,63,513,8.142857142857142,1280,False,False,0.9892578125,0.934347079348981,0.8164451367301556,0.8333333333333334,0
200,2,0.03,0.8,0.6,3,576,144,63,513,8.142857142857142,1280,False,False,0.99462890625,0.9615896358543418,0.7890625,0.8125,0
200,2,0.03,0.8,0.6,4,576,144,63,513,8.142857142857142,1280,False,False,0.99609375,0.9725818452380952,0.8164451367301556,0.8333333333333334,0
200,2,0.03,0.8,0.6,5,576,144,64,512,8.0,1280,False,False,0.9803617571059432,0.8687847337847338,0.7911215487044864,0.8125,0
200,2,0.03,0.8,0.9,1,576,144,63,513,8.142857142857142,1280,False,False,0.9736328125,0.8048905949202717,0.688653724024566,0.7222222222222222,0
200,2,0.03,0.8,0.9,2,576,144,63,513,8.142857142857142,1280,False,False,0.98876953125,0.9331976540616247,0.7711559152360674,0.7894736842105263,0
200,2,0.03,0.8,0.9,3,576,144,63,513,8.142857142857142,1280,False,False,0.99365234375,0.9548766748602275,0.859375,0.875,0
200,2,0.03,0.8,0.9,4,576,144,63,513,8.142857142857142,1280,False,False,0.99560546875,0.9691351540616246,0.8164451367301556,0.8333333333333334,0
200,2,0.03,0.8,0.9,5,576,144,64,512,8.0,1280,False,False,0.9798449612403101,0.8679359683526351,0.7911215487044864,0.8125,0
200,2,0.03,1.0,0.6,1,576,144,63,513,8.142857142857142,1280,False,False,0.97216796875,0.8065084534871434,0.688653724024566,0.7222222222222222,0
200,2,0.03,1.0,0.6,2,576,144,63,513,8.142857142857142,1280,False,False,0.990234375,0.9473345588235295,0.8685990362153793,0.8823529411764706,0
200,2,0.03,1.0,0.6,3,576,144,63,513,8.142857142857142,1280,False,False,0.994140625,0.9527545371295372,0.8685990362153793,0.8823529411764706,0
200,2,0.03,1.0,0.6,4,576,144,63,513,8.142857142857142,1280,False,False,0.9931640625,0.9402428657943365,0.8164451367301556,0.8333333333333334,0
200,2,0.03,1.0,0.6,5,576,144,64,512,8.0,1280,False,False,0.9829457364341085,0.8633879083879084,0.7647165723025928,0.7878787878787878,0
200,2,0.03,1.0,0.9,1,576,144,63,513,8.142857142857142,1280,False,False,0.97509765625,0.840450553054243,0.688653724024566,0.7222222222222222,0
200,2,0.03,1.0,0.9,2,576,144,63,513,8.142857142857142,1280,False,False,0.9873046875,0.9267072694462402,0.8978642767029671,0.9090909090909091,0
200,2,0.03,1.0,0.9,3,576,144,63,513,8.142857142857142,1280,False,False,0.99365234375,0.9524095695970696,0.8293831030561306,0.8484848484848485,0
200,2,0.03,1.0,0.9,4,576,144,63,513,8.142857142857142,1280,False,False,0.994140625,0.9495682626197333,0.8803408430829505,0.8888888888888888,0
200,2,0.03,1.0,0.9,5,576,144,64,512,8.0,1280,False,False,0.9808785529715762,0.8528627305006615,0.7911215487044864,0.8125,0
200,2,0.1,0.8,0.6,1,576,144,63,513,8.142857142857142,1280,False,False,0.9736328125,0.7719055423428155,0.7711559152360674,0.7894736842105263,0
200,2,0.1,0.8,0.6,2,576,144,63,513,8.142857142857142,1280,False,False,0.990234375,0.935406600140056,0.8415524501276135,0.8571428571428571,0
200,2,0.1,0.8,0.6,3,576,144,63,513,8.142857142857142,1280,False,False,0.99560546875,0.9667084141348848,0.8685990362153793,0.8823529411764706,0
200,2,0.1,0.8,0.6,4,576,144,63,513,8.142857142857142,1280,False,False,0.99560546875,0.9691351540616246,0.8415524501276135,0.8571428571428571,0
