model,AUROC,AUPRC,MCC,Accuracy,Precision,Recall,Specificity,F1
XGBoost,0.9878881987577639,0.9165844676778183,0.8179510473202897,0.9613259668508287,0.782608695652174,0.9,0.968944099378882,0.8372093023255814
Random Forest,0.9881987577639751,0.9220576056509563,0.7285186322821915,0.9281767955801105,0.6129032258064516,0.95,0.9254658385093167,0.7450980392156863
Logistic Regression,0.977639751552795,0.8820785695785698,0.7751557946778821,0.9447513812154696,0.6785714285714286,0.95,0.9440993788819876,0.7916666666666666
RBF-SVM,0.9801242236024845,0.8476651056175093,0.7264224849048023,0.9337016574585635,0.6428571428571429,0.9,0.937888198757764,0.75
