Representation,Classifier,AUROC,AUROC 95% CI,AUPRC,AUPRC 95% CI,MCC,MCC 95% CI,F1,F1 95% CI,Accuracy,Sensitivity,Specificity,Precision
Traditional,Logistic Regression,0.9667701863354036,"[0.940062111801, 0.987267080745]",0.7481014082078992,"[0.599288531982, 0.907227178609]",0.6404496029129428,"[0.534312756333, 0.746407419165]",0.6551724137931034,"[0.558823529412, 0.760000000000]",0.8895027624309392,0.95,0.8819875776397516,0.5
Traditional,RBF-SVM,0.9683229813664596,"[0.941614906832, 0.988509316770]",0.7676879954840483,"[0.619733622183, 0.922899215976]",0.6776891751317226,"[0.529568375024, 0.810314547957]",0.7083333333333334,"[0.577777777778, 0.829268292683]",0.9226519337016574,0.85,0.9316770186335404,0.6071428571428571
Traditional,Random Forest,0.965217391304348,"[0.936956521739, 0.987888198758]",0.6732291747397245,"[0.518959607428, 0.901588951490]",0.7455702438142119,"[0.606301097978, 0.880429031497]",0.7727272727272727,"[0.650000000000, 0.888888888889]",0.9447513812154696,0.85,0.9565217391304348,0.7083333333333334
Traditional,XGBoost,0.9779503105590064,"[0.956521739130, 0.994099378882]",0.7668461218219346,"[0.613601414659, 0.958310857320]",0.7600689387825204,"[0.625048174605, 0.880429031497]",0.782608695652174,"[0.666666666667, 0.888888888889]",0.9447513812154696,0.9,0.9503105590062112,0.6923076923076923
ESM-2,Logistic Regression,0.977639751552795,"[0.949689440994, 0.995962732919]",0.8820785695785698,"[0.772909137001, 0.969696637197]",0.7751557946778821,"[0.662780639248, 0.880429031497]",0.7916666666666666,"[0.690909090909, 0.888888888889]",0.9447513812154696,0.95,0.9440993788819876,0.6785714285714286
ESM-2,RBF-SVM,0.9801242236024844,"[0.960559006211, 0.994409937888]",0.8476651056175093,"[0.715278889001, 0.958772727273]",0.7264224849048023,"[0.597505589426, 0.860560157131]",0.75,"[0.638297872340, 0.869565217391]",0.9337016574585636,0.9,0.937888198757764,0.6428571428571429
ESM-2,Random Forest,0.9881987577639753,"[0.973291925466, 0.998136645963]",0.9220576056509564,"[0.838250030161, 0.984852272727]",0.7285186322821915,"[0.619053852163, 0.841744986072]",0.7450980392156863,"[0.642857142857, 0.851063829787]",0.9281767955801103,0.95,0.9254658385093169,0.6129032258064516
ESM-2,XGBoost,0.987888198757764,"[0.972670807453, 0.997515527950]",0.9165844676778184,"[0.825312818932, 0.983333333333]",0.8179510473202897,"[0.693346438203, 0.943788819876]",0.8372093023255814,"[0.723404255319, 0.950000000000]",0.9613259668508288,0.9,0.968944099378882,0.782608695652174
