model,rows,unique_IDs,active_n,inactive_n,alignment_exact,probabilities_finite,probabilities_in_unit_interval,saved_labels_equal_probability_ge_0_5,predefined_bin_count,nonempty_bin_count,saved_bin_n_sum,weighted_observed_prevalence,prevalence_absolute_difference,weighted_mean_bin_probability,direct_mean_probability,mean_probability_absolute_difference,direct_brier_score,saved_brier_score,brier_absolute_difference,bin_reconstructed_ece,saved_ece,ece_absolute_difference,bootstrap_replicates,bootstrap_active_n_every_replicate,bootstrap_inactive_n_every_replicate,stored_probability_max_absolute_change,recalibration_performed
Traditional Logistic Regression,181,181,20,161,True,True,True,True,10,10,181,0.11049723756906077,0.0,0.21066955771098028,0.21066955771098028,0.0,0.07625217986154562,0.07625217986154562,0.0,0.10017232014191951,0.10017232014191951,0.0,2000,True,True,0.0,False
Traditional RBF-SVM,181,181,20,161,True,True,True,True,10,9,181,0.11049723756906077,0.0,0.13055899183937042,0.13055899183937042,0.0,0.0535816073440344,0.0535816073440344,0.0,0.039442638232447876,0.039442638232447876,0.0,2000,True,True,0.0,False
Traditional Random Forest,181,181,20,161,True,True,True,True,10,10,181,0.11049723756906077,0.0,0.14988015580695138,0.14988015580695135,2.7755575615628914e-17,0.04981108515489559,0.04981108515489559,0.0,0.05708703119062232,0.05708703119062232,0.0,2000,True,True,0.0,False
Traditional XGBoost,181,181,20,161,True,True,True,True,10,7,181,0.11049723756906077,0.0,0.14161452672570107,0.1416145267257011,2.7755575615628914e-17,0.04571857828694697,0.04571857828694697,0.0,0.05029405139584583,0.05029405139584583,0.0,2000,True,True,0.0,False
ESM-2 Logistic Regression,181,181,20,161,True,True,True,True,10,9,181,0.11049723756906077,0.0,0.14942825850447022,0.14942825850447025,2.7755575615628914e-17,0.04468986644353275,0.04468986644353275,0.0,0.048098282269010445,0.048098282269010445,0.0,2000,True,True,0.0,False
ESM-2 RBF-SVM,181,181,20,161,True,True,True,True,10,10,181,0.11049723756906077,0.0,0.1406795832600457,0.1406795832600457,0.0,0.039616161620825076,0.039616161620825076,0.0,0.041758621865358274,0.041758621865358274,0.0,2000,True,True,0.0,False
ESM-2 Random Forest,181,181,20,161,True,True,True,True,10,10,181,0.11049723756906077,0.0,0.16016574585635357,0.16016574585635357,0.0,0.040520626151012894,0.040520626151012894,0.0,0.05674033149171269,0.05674033149171269,0.0,2000,True,True,0.0,False
ESM-2 XGBoost,181,181,20,161,True,True,True,True,10,7,181,0.11049723756906077,0.0,0.13258927903850826,0.13258927903850828,2.7755575615628914e-17,0.0353440082689283,0.0353440082689283,0.0,0.03792628283994474,0.03792628283994474,0.0,2000,True,True,0.0,False
