descriptive_summary_order,model,representation,classifier,test_n,active_n,inactive_n,AUROC,AUROC_CI_low,AUROC_CI_high,AUPRC,AUPRC_CI_low,AUPRC_CI_high,MCC,MCC_CI_low,MCC_CI_high,F1,F1_CI_low,F1_CI_high,Brier,ECE,Log_loss,NB_0_05_to_0_20,NB_0_05_to_0_50,AUROC_rank,AUPRC_rank,MCC_rank,F1_rank,Brier_rank,ECE_rank,Log_loss_rank,NB_0_05_to_0_20_rank,NB_0_05_to_0_50_rank,discrimination_rank,threshold_rank,calibration_rank,decision_utility_rank,mean_domain_rank,summary_order_only_not_model_selection
1,ESM-2 XGBoost,ESM-2,XGBoost,181,20,161,0.987888198757764,0.9726708074534162,0.9975155279503106,0.9165844676778184,0.8253128189320141,0.9833333333333334,0.8179510473202897,0.6933464382031791,0.9437888198757765,0.8372093023255814,0.723404255319149,0.95,0.0353440082689283,0.0379262828399447,0.1258494837804592,0.0956434748693691,0.086177570640096,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.3333333333333333,1.0,1.3333333333333333,True
2,ESM-2 Logistic Regression,ESM-2,Logistic Regression,181,20,161,0.977639751552795,0.9496894409937888,0.9959627329192546,0.8820785695785698,0.7729091370009014,0.9696966371966604,0.7751557946778821,0.6627806392478157,0.8804290314972045,0.7916666666666666,0.6909090909090909,0.8888888888888888,0.0446898664435327,0.0480982822690104,0.1546289963981976,0.0933044769572007,0.0782699270637089,5.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,3.0,3.25,True
3,ESM-2 RBF-SVM,ESM-2,RBF-SVM,181,20,161,0.9801242236024844,0.9605590062111802,0.9944099378881988,0.8476651056175093,0.7152788890006208,0.9587727272727272,0.7264224849048023,0.5975055894260409,0.8605601571314145,0.75,0.6382978723404256,0.8695652173913043,0.039616161620825,0.0417586218653582,0.1232076469760476,0.0943409672740078,0.0777725851407836,3.0,4.0,6.0,5.0,2.0,3.0,1.0,2.0,4.0,3.5,5.5,2.0,3.0,3.5,True
4,ESM-2 Random Forest,ESM-2,Random Forest,181,20,161,0.9881987577639753,0.9732919254658384,0.9981366459627328,0.9220576056509564,0.8382500301607818,0.9848522727272728,0.7285186322821915,0.6190538521634015,0.8417449860724445,0.7450980392156863,0.6428571428571429,0.851063829787234,0.0405206261510128,0.0567403314917126,0.1272262633844491,0.0936846444580613,0.0738638898352682,1.0,1.0,5.0,6.0,3.0,6.0,3.0,3.0,6.0,1.0,5.5,4.0,4.5,3.75,True
5,Traditional XGBoost,Traditional,XGBoost,181,20,161,0.9779503105590064,0.9565217391304348,0.9940993788819876,0.7668461218219346,0.6136014146589891,0.9583108573197098,0.7600689387825204,0.625048174604586,0.8804290314972045,0.782608695652174,0.6666666666666666,0.8888888888888888,0.0457185782869469,0.0502940513958458,0.1969806410424981,0.0926958838378861,0.0780918740698828,4.0,6.0,3.0,3.0,5.0,5.0,6.0,5.0,3.0,5.0,3.0,5.333333333333333,4.0,4.333333333333333,True
6,Traditional RBF-SVM,Traditional,RBF-SVM,181,20,161,0.9683229813664596,0.9416149068322982,0.9885093167701864,0.7676879954840483,0.6197336221827707,0.9228992159763592,0.6776891751317226,0.529568375023553,0.8103145479569674,0.7083333333333334,0.5777777777777777,0.8292682926829268,0.0535816073440344,0.0394426382324478,0.1610918737950306,0.0865549101425489,0.0645904011791384,6.0,5.0,7.0,7.0,7.0,2.0,5.0,7.0,7.0,5.5,7.0,4.666666666666667,7.0,6.041666666666667,True
7,Traditional Random Forest,Traditional,Random Forest,181,20,161,0.965217391304348,0.9369565217391304,0.987888198757764,0.6732291747397245,0.5189596074282522,0.9015889514896868,0.7455702438142119,0.6063010979779416,0.8804290314972045,0.7727272727272727,0.65,0.8888888888888888,0.0498110851548955,0.0570870311906223,0.3492451729720427,0.0896313477165744,0.074983130259096,8.0,8.0,4.0,4.0,6.0,7.0,8.0,6.0,5.0,8.0,4.0,7.0,5.5,6.125,True
8,Traditional Logistic Regression,Traditional,Logistic Regression,181,20,161,0.9667701863354036,0.9400621118012422,0.9872670807453416,0.7481014082078992,0.5992885319824954,0.9072271786088546,0.6404496029129428,0.5343127563333548,0.7464074191652338,0.6551724137931034,0.5588235294117647,0.76,0.0762521798615456,0.1001723201419195,0.2439450726120045,0.0858984129384304,0.0572315356085479,7.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,7.666666666666667,8.0,7.666666666666667,True
