stability_criterion,rf_stable_count,xgboost_stable_count,intersection_count,union_count,jaccard_index,intersection_features,rf_only_features,xgboost_only_features
stable_top20,19,8,7,20,0.35,esm2_0017;esm2_0511;esm2_0647;esm2_0739;esm2_0837;esm2_0941;esm2_1129,esm2_0026;esm2_0061;esm2_0126;esm2_0158;esm2_0642;esm2_0742;esm2_0761;esm2_0801;esm2_0826;esm2_0880;esm2_0902;esm2_1213,esm2_0877
stable_top50,41,12,7,46,0.15217391304347827,esm2_0003;esm2_0017;esm2_0511;esm2_0647;esm2_0739;esm2_0837;esm2_1129,esm2_0026;esm2_0037;esm2_0038;esm2_0061;esm2_0074;esm2_0122;esm2_0126;esm2_0158;esm2_0201;esm2_0244;esm2_0362;esm2_0467;esm2_0627;esm2_0642;esm2_0742;esm2_0753;esm2_0756;esm2_0761;esm2_0801;esm2_0807;esm2_0826;esm2_0880;esm2_0902;esm2_0924;esm2_0941;esm2_0945;esm2_0948;esm2_1007;esm2_1034;esm2_1055;esm2_1076;esm2_1173;esm2_1213;esm2_1219,esm2_0055;esm2_0608;esm2_0877;esm2_1011;esm2_1186
