model,classifier,representation,AUROC,AUPRC,MCC,F1,Accuracy,Precision,Recall,Specificity,TN,FP,FN,TP,frozen_existing_baseline
Traditional Logistic Regression,Logistic Regression,Traditional,0.9667701863354036,0.7481014082078992,0.6404496029129428,0.6551724137931034,0.8895027624309392,0.5,0.95,0.8819875776397516,142,19,1,19,True
ESM-2 Logistic Regression,Logistic Regression,ESM-2,0.977639751552795,0.8820785695785698,0.7751557946778821,0.7916666666666666,0.9447513812154696,0.6785714285714286,0.95,0.9440993788819876,152,9,1,19,True
Fusion Logistic Regression,Logistic Regression,Fusion,0.9795031055900622,0.8726750746907777,0.7143430755136987,0.7307692307692307,0.9226519337016574,0.59375,0.95,0.9192546583850931,148,13,1,19,False
Traditional RBF-SVM,RBF-SVM,Traditional,0.9683229813664596,0.7676879954840483,0.6776891751317226,0.7083333333333334,0.9226519337016574,0.6071428571428571,0.85,0.9316770186335404,150,11,3,17,True
ESM-2 RBF-SVM,RBF-SVM,ESM-2,0.9801242236024844,0.8476651056175093,0.7264224849048023,0.75,0.9337016574585636,0.6428571428571429,0.9,0.937888198757764,151,10,2,18,True
Fusion RBF-SVM,RBF-SVM,Fusion,0.975776397515528,0.8208260111422252,0.7264224849048023,0.75,0.9337016574585635,0.6428571428571429,0.9,0.937888198757764,151,10,2,18,False
