model_order,model,representation,classifier,subset_order,subset,subset_label,n,active,inactive,active_prevalence,decision_threshold,AUROC,AUPRC,MCC,Accuracy,Precision,Recall,Specificity,F1,TN,FP,FN,TP
5,ESM-2 RBF-SVM,ESM-2,RBF-SVM,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.5,0.988116458704694,0.8569050832208727,0.767087302059032,0.9695121951219512,0.75,0.8181818181818182,0.9803921568627451,0.782608695652174,150,3,2,9
5,ESM-2 RBF-SVM,ESM-2,RBF-SVM,3,novel_lt_0_80,Similarity < 0.80,154,4,150,0.025974025974025976,0.5,0.9883333333333333,0.7152777777777777,0.7433333333333333,0.987012987012987,0.75,0.75,0.9933333333333333,0.75,149,1,1,3
6,ESM-2 Random Forest,ESM-2,Random Forest,0,all_test,All test,181,20,161,0.11049723756906077,0.5,0.9881987577639751,0.9220576056509563,0.7285186322821915,0.9281767955801105,0.6129032258064516,0.95,0.9254658385093167,0.7450980392156863,149,12,1,19
6,ESM-2 Random Forest,ESM-2,Random Forest,1,novel_lt_0_95,Similarity < 0.95,176,17,159,0.09659090909090909,0.5,0.9881613022567518,0.9061504338252654,0.73118182611438,0.9375,0.6153846153846154,0.9411764705882353,0.9371069182389937,0.7441860465116279,149,10,1,16
6,ESM-2 Random Forest,ESM-2,Random Forest,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.5,0.9898989898989898,0.8786711958960762,0.7333447204220874,0.9573170731707317,0.625,0.9090909090909091,0.9607843137254902,0.7407407407407407,147,6,1,10
6,ESM-2 Random Forest,ESM-2,Random Forest,3,novel_lt_0_80,Similarity < 0.80,154,4,150,0.025974025974025976,0.5,0.9883333333333333,0.7152777777777777,0.5523398999523438,0.9675324675324676,0.42857142857142855,0.75,0.9733333333333334,0.5454545454545454,146,4,1,3
7,ESM-2 XGBoost,ESM-2,XGBoost,0,all_test,All test,181,20,161,0.11049723756906077,0.5,0.9878881987577639,0.9165844676778183,0.8179510473202897,0.9613259668508287,0.782608695652174,0.9,0.968944099378882,0.8372093023255814,156,5,2,18
7,ESM-2 XGBoost,ESM-2,XGBoost,1,novel_lt_0_95,Similarity < 0.95,176,17,159,0.09659090909090909,0.5,0.9881613022567518,0.8991436030551421,0.8418079692677263,0.9715909090909091,0.8333333333333334,0.8823529411764706,0.9811320754716981,0.8571428571428571,156,3,2,15
7,ESM-2 XGBoost,ESM-2,XGBoost,2,novel_lt_0_90,Similarity < 0.90,164,11,153,0.06707317073170732,0.5,0.9934640522875817,0.9128968253968255,0.8606902168936162,0.9817073170731707,0.8333333333333334,0.9090909090909091,0.9869281045751634,0.8695652173913043,151,2,1,10
7,ESM-2 XGBoost,ESM-2,XGBoost,3,novel_lt_0_80,Similarity < 0.80,154,4,150,0.025974025974025976,0.5,0.9916666666666667,0.8125,0.7433333333333333,0.987012987012987,0.75,0.75,0.9933333333333333,0.75,149,1,1,3
