rank,feature,mean_cv_AUROC_drop,sd_cv_AUROC_drop,min_fold_AUROC_drop,max_fold_AUROC_drop,mean_permutation_repeat_sd,folds,permutation_repeats_per_fold
1,net_charge_pH7_4,0.01312201059162362,0.0043484570661310356,0.006218776916451429,0.016943359375,0.0034013976138772386,5,30
2,molecular_weight,0.007893316645133517,0.006159509693452853,-0.002018229166666667,0.013802083333333333,0.004835575190633283,5,30
3,hydrophobic_moment,0.005243121164405701,0.005539076655068895,0.0009114583333333333,0.014892578125,0.0030346781786883487,5,30
4,AAC_K,0.004127605848944891,0.0027462786502024526,0.0008138020833333334,0.007698567708333334,0.003211980929593064,5,30
5,aliphatic_index,0.0037515476959517763,0.0021464104493865276,0.00048828125,0.00576171875,0.0023938088282068103,5,30
6,boman_index,0.003724177029500446,0.002683329283782297,0.0005208333333333333,0.006804478897502231,0.003310046731726534,5,30
7,AAC_F,0.0033497069471361053,0.002187652765544827,0.0002766927083333333,0.006103515625,0.0029541209124358593,5,30
8,AAC_G,0.0014141617544143152,0.0017439258168936253,-0.0007579672695950908,0.0036295572916666668,0.0017593014473925087,5,30
9,AAC_R,0.0012800572647502317,0.0026011435670154183,-0.00126953125,0.005452473958333333,0.0021904705189022956,5,30
10,length,0.001214406357665821,0.0018956729462454467,-0.00078125,0.0039713541666666664,0.0015181024926381311,5,30
11,mean_eisenberg_hydrophobicity,0.0011773424041774505,0.0015523756869896305,-0.000732421875,0.0034453057708872525,0.0019890646417834133,5,30
12,instability_index,0.0009871120666451504,0.001100509435656846,-0.00022394487510758084,0.0020833333333333333,0.0013997910575309605,5,30
13,isoelectric_point,0.00083221630060294,0.001558563876567323,-0.0003962101636519666,0.0034342447916666666,0.0017807128909346076,5,30
14,aromaticity,0.0006758468588501405,0.0013792669103866889,-0.0012919896640826304,0.00244140625,0.0014762012813394824,5,30
15,AAC_I,0.0005068149090224031,0.0007768719269742645,-0.0005208333333333333,0.001611328125,0.0010886870072940465,5,30
16,AAC_L,0.0004585806282299854,0.001250605930745103,-0.001171875,0.0022786458333333335,0.0011430966762554112,5,30
17,AAC_N,0.00044712767818692124,0.000454938048815169,-0.00018949181739872736,0.0010579427083333333,0.0009357879547096085,5,30
18,AAC_W,0.0003243802487080308,0.0007608208810953023,-0.0005696614583333334,0.0013020833333333333,0.0006346811071152803,5,30
19,AAC_A,0.00028567270941000453,0.0017642616164837165,-0.0021360895779499772,0.0019694010416666666,0.0013814629657457154,5,30
20,AAC_Q,0.0002671171807709031,0.0008625305529696089,-0.00047200520833333334,0.0017578125,0.0008226986130478542,5,30
21,AAC_E,0.000113955843561601,0.000748593454554502,-0.000537109375,0.00107421875,0.0013189018413184838,5,30
22,AAC_V,9.965143195522847e-05,0.0009594910660399477,-0.0009991386735571908,0.0013671875,0.001160070877168165,5,30
23,AAC_D,5.2487080103377586e-05,0.00028472020691638287,-0.0002583979328164454,0.0005208333333333333,0.00023138554486194508,5,30
24,AAC_Y,1.0335917312674544e-05,2.311181372095723e-05,0.0,5.167958656337272e-05,0.00015675194716385205,5,30
25,AAC_S,3.2552083333333433e-06,0.00039137027428783744,-0.0006184895833333333,0.000390625,0.0002283834111600457,5,30
26,AAC_C,0.0,0.0,0.0,0.0,0.0,5,30
27,AAC_M,0.0,0.0,0.0,0.0,0.0,5,30
28,AAC_H,-1.6276041666666666e-05,3.639433557128564e-05,-8.138020833333333e-05,0.0,3.701650603412614e-05,5,30
29,charge_density,-3.654412952194931e-05,0.001170116226867849,-0.0014973958333333334,0.001513671875,0.0013011811346444184,5,30
30,AAC_T,-5.013525516794311e-05,0.000212493870719245,-0.00041343669250638225,0.00013020833333333333,0.0003732290638653455,5,30
31,AAC_P,-0.0002766927083333333,0.000494213100608365,-0.0009440104166666667,0.00021158854166666667,0.00025176335059908303,5,30
32,hydrophobic_ratio,-0.00034740559054692686,0.0009828997851532503,-0.0016881998277346341,0.0005045572916666667,0.0008183379923896303,5,30
