model,representation,classifier,n,active_n,inactive_n,prevalence,prevalence_only_brier_benchmark,mean_predicted_probability,brier_score,brier_ci_lower,brier_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper,ece_10_equal_width_bins,ece_ci_lower,ece_ci_upper,mce_10_equal_width_bins,calibration_intercept,calibration_slope,diagnostic_calibration_fit_converged,nonempty_calibration_bins
Traditional Logistic Regression,Traditional,Logistic Regression,181,20,161,0.11049723756906077,0.09828759805866732,0.21066955771098028,0.07625217986154562,0.04749909367590559,0.10726670834877226,0.2439450726120045,0.1587916325505129,0.3390366671426934,0.10017232014191951,0.07028075302253634,0.1388453660225591,0.553526402966839,-2.0430826618126043,1.0166928409575495,True,10
Traditional RBF-SVM,Traditional,RBF-SVM,181,20,161,0.11049723756906077,0.09828759805866732,0.13055899183937042,0.0535816073440344,0.032966821257743334,0.07729183240556144,0.16109187379503068,0.10512322715301883,0.22541600882568602,0.039442638232447876,0.026923772752742416,0.0810324848240261,0.4629885234694826,-0.45244810675038105,0.8713628893534231,True,9
Traditional Random Forest,Traditional,Random Forest,181,20,161,0.11049723756906077,0.09828759805866732,0.14988015580695135,0.04981108515489559,0.02739622767006087,0.07591393435941776,0.34924517297204277,0.10720471291158508,0.777742448291619,0.05708703119062232,0.04034220709462421,0.09268209023941065,0.4533333333333333,-1.2340639901286814,0.3346128739939354,True,10
Traditional XGBoost,Traditional,XGBoost,181,20,161,0.11049723756906077,0.09828759805866732,0.1416145267257011,0.04571857828694697,0.02135495804964076,0.07283962514750623,0.19698064104249816,0.08043546974167161,0.34272886525633783,0.05029405139584583,0.026442875271611318,0.08234418458033697,0.6320686,-0.9976056687417741,0.46944699210492813,True,7
ESM-2 Logistic Regression,ESM-2,Logistic Regression,181,20,161,0.11049723756906077,0.09828759805866732,0.14942825850447025,0.04468986644353275,0.020762117018191265,0.0716575215074799,0.15462899639819763,0.06936230491669931,0.2536771788552513,0.048098282269010445,0.026854445309861866,0.08372033008566512,0.66611688,-1.0843415004913182,0.6116567195466324,True,9
ESM-2 RBF-SVM,ESM-2,RBF-SVM,181,20,161,0.11049723756906077,0.09828759805866732,0.1406795832600457,0.039616161620825076,0.021751558411206816,0.060081688541704606,0.12320764697604766,0.07634455657499123,0.17579427637351575,0.041758621865358274,0.029708746591971983,0.0743792898249252,0.6526136074111555,-0.9381092633747414,1.1940781710338684,True,10
ESM-2 Random Forest,ESM-2,Random Forest,181,20,161,0.11049723756906077,0.09828759805866732,0.16016574585635357,0.040520626151012894,0.02375989717618171,0.06012868631062002,0.12722626338444912,0.08245374683171228,0.17877334664658878,0.05674033149171269,0.04150920810313074,0.08886233885819518,0.64,-1.730229304966237,1.6421276334176722,True,10
ESM-2 XGBoost,ESM-2,XGBoost,181,20,161,0.11049723756906077,0.09828759805866732,0.13258927903850828,0.0353440082689283,0.012716965962804697,0.06117113613555271,0.1258494837804592,0.04838264969945248,0.21690205491494888,0.03792628283994474,0.01791984904616327,0.066935138397617,0.53885633,-1.0062309259686264,0.6038452020879336,True,7
