display_name,active_n,inactive_n,active_median,inactive_median,raw_p_value,fdr_p_value,rank_biserial_effect,effect_magnitude,direction,significance_symbol
Peptide length,99,802,17.0,16.0,0.00010224355294542894,0.00011928414510300042,0.238381319428701,Small,Active higher,***
Molecular weight,99,802,1834.2568,1806.1002000000003,0.004778905420975107,0.004778905420975107,0.1736441723972897,Small,Active higher,**
Net charge at pH 7.4,99,802,4.5449249042305215,-0.4412408067657636,1.6136919545679514e-39,1.129584368197566e-38,0.809441043855009,Large,Active higher,****
Isoelectric point,99,802,10.602486610412598,6.235857009887695,3.282545599072889e-30,1.1488909596755112e-29,0.702561777374745,Large,Active higher,****
Mean Eisenberg hydrophobicity,99,802,0.1655,0.03461538461538455,6.011045852677047e-07,8.415464193747866e-07,0.30713619990427965,Moderate,Active higher,****
Hydrophobic moment,99,802,0.5153089915263591,0.3535985765629627,2.0215958833098317e-17,3.5377927957922057e-17,0.5226202171339329,Large,Active higher,****
Boman index,99,802,-0.2582352941176471,1.4463888888888885,1.8245204005591409e-28,4.257214267971328e-28,-0.6810121161742109,Large,Active lower,****
